UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100002,0,4,10.0,Pr101097,android,P12345,0,0
U100003,3,4,15.0,Pr100178,windows,P12345,1,2
U100004,1,25,15.0,Product101,windows,P12345,1,0
U100005,2,4,19.0,Pr102072,android,P12345,2,0
U100006,1,1,7.0,Pr101111,android,P12345,1,0
U100007,0,0,18.0,Product101,windows,P12345,0,0
U100008,49,53,21.0,Product101,android,P12345,27,22
U100009,7,13,17.0,Product101,windows,P12345,3,4
U100012,25,36,14.0,Product101,mac os x,P12345,11,14
U100013,9,10,20.0,Pr100758,mac os x,P12345,6,3
U100014,3,12,19.0,Product101,windows,P12345,1,2
U100015,15,15,4.0,Product101,android,P12345,7,8
U100016,1,1,21.0,Pr100172,android,P12345,1,0
U100017,2,2,6.0,Pr100119,windows,P12345,2,0
U100018,22,25,5006.0,Pr101268,windows,P12345,8,14
U100019,22,22,17.0,Pr100246,windows,P12345,8,14
U100020,0,11,13.0,Product101,mac os x,P12345,0,0
U100023,7,14,13.0,Pr100530,windows,P12345,7,0
U100024,3,3,1.0,Pr100025,android,P12345,2,1
U100025,0,0,21.0,Product101,windows,P12345,0,0
U100026,4,14,21.0,Product101,windows,P12345,2,2
U100027,57,85,21.0,Product101,windows,P12345,23,34
U100028,0,2,18.0,Pr100137,android,P12345,0,0
U100029,2,2,20.0,Pr100301,mac os x,P12345,1,1
U100030,7,11,17.0,Pr101637,mac os x,P12345,3,4
U100031,67,72,5758.0,Product101,windows,P12345,13,54
U100032,216,239,1943.0,Product101,windows,P12345,30,186
U100033,0,0,18.0,Product101,android,P12345,0,0
U100034,143,307,2609.0,Product101,windows,P12345,108,35
U100035,0,0,20.0,Product101,android,P12345,0,0
U100036,10,10,3.0,Product101,windows,P12345,3,7
U100038,23,53,9.0,Product101,ios,P12345,14,9
U100039,0,2,9.0,Pr100047,mac os x,P12345,0,0
U100040,6,6,5.0,Product101,windows,P12345,4,2
U100042,0,0,0.0,Product101,android,P12345,0,0
U100043,42,49,3837.0,Pr101272,windows,P12345,20,22
U100044,2,2,3.0,Pr100137,windows,P12345,1,1
U100045,4,5,21.0,Product101,android,P12345,4,0
U100047,0,1,21.0,Product101,windows,P12345,0,0
U100048,0,2,21.0,Pr100226,mac os x,P12345,0,0
U100049,3,3,21.0,Pr100025,android,P12345,2,1
U100050,49,55,19.0,Product101,windows,P12345,29,20
U100051,7,7,5.0,Pr101587,android,P12345,7,0
U100052,0,4,13.0,Pr101108,linux,P12345,0,0
U100053,0,0,17.0,Product101,windows,P12345,0,0
U100054,0,1,16.0,Pr100746,linux,P12345,0,0
U100056,1,2,20.0,Product101,android,P12345,1,0
U100057,1,1,3.0,Pr100184,android,P12345,1,0
U100058,9,25,21.0,Product101,windows,P12345,9,0
U100059,1,1,7.0,Pr100073,android,P12345,1,0
U100061,2,4,20.0,Pr100642,android,P12345,2,0
U100062,0,0,3013.0,Product101,windows,P12345,0,0
U100063,2,11,21.0,Product101,mac os x,P12345,2,0
U100065,5,8,9.0,Pr101238,android,P12345,2,3
U100066,2,3,20.0,Pr100942,windows,P12345,2,0
U100067,27,27,7.0,Pr100102,android,P12345,5,22
U100068,1,1,2.0,Pr100498,android,P12345,1,0
U100069,80,87,5637.0,Pr101042,windows,P12345,17,63
U100070,93,141,7375.0,Product101,windows,P12345,44,49
U100071,0,14,21.0,Pr102623,android,P12345,0,0
U100072,0,1,12.0,Product101,android,P12345,0,0
U100073,2,2,7.0,Product101,windows,P12345,2,0
U100074,0,1,18.0,Pr100341,linux,P12345,0,0
U100075,5,5,4.0,Pr101618,linux,P12345,5,0
U100076,2,6,11.0,Pr102602,android,P12345,2,0
U100077,0,10,19.0,Product101,windows,P12345,0,0
U100078,4,6,21.0,Pr101686,android,P12345,3,1
U100079,47,47,6.0,Pr100773,mac os x,P12345,11,36
U100080,38,43,21.0,Product101,windows,P12345,11,27
U100081,101,131,20.0,Product101,windows,P12345,59,42
U100082,4,34,20.0,Product101,windows,P12345,4,0
U100083,6,13,10.0,Product101,windows,P12345,3,3
U100084,7,13,10.0,Pr102519,android,P12345,6,1
U100085,2,5,20.0,Product101,windows,P12345,2,0
U100086,0,0,16.0,Product101,windows,P12345,0,0
U100088,8,101,14.0,Pr109479,ubuntu,P12345,5,3
U100089,17,28,2387.0,Product101,android,P12345,14,3
U100090,5,15,20.0,Product101,mac os x,P12345,4,1
U100091,60,61,8012.0,Product101,windows,P12345,26,34
U100092,50,50,1.0,Product101,mac os x,P12345,11,39
U100093,33,33,5.0,Product101,windows,P12345,7,26
U100094,0,0,20.0,Product101,windows,P12345,0,0
U100095,18,20,21.0,Product101,mac os x,P12345,13,5
U100096,64,154,6561.0,Product101,windows,P12345,59,5
U100097,2,2,18.0,Pr100019,windows,P12345,1,1
U100098,5,33,21.0,Product101,windows,P12345,2,3
U100100,21,25,8.0,Pr100200,windows,P12345,7,14
U100101,1,1,3.0,Pr100438,windows,P12345,1,0
U100102,80,103,17.0,Product101,mac os x,P12345,39,41
